#NAME,S10A,S10B,S10C,S11A,S11B,S11C,S12A,S12B,S12C,S13A,S13B,S13C,S1A,S1B,S1C,S2A,S2C,S3A,S3B,S3C,S4A,S4B,S4C,S5A,S5C,S6A,S6B,S6C,S7A,S7B,S7C,S8A,S8B,S8C,S9A,S9B,S9C,SW0A,SW0B,SW0C,SW1A,SW1B,SW1C,SWFA,SWFB,SWFC
330e16962ded51acb5b77f3c3cfcc5e7,0,0,0,0,0,0,0,0,0,41,5,72,0,0,0,0,0,0,0,0,0,0,0,532,39,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
9dc59a5cb22389a68d821f1471d5df73,0,5092,702,268,0,0,579,34,0,0,36,458,68,20,0,211,0,0,0,0,0,17,10,0,115,233,0,0,0,0,9,0,0,1900,0,0,12,19,0,0,23,0,0,0,7,0
69fd10384abd0a3d2519c598038da377,0,195,17,82,0,11,63,0,0,178,81,105,12,30,38,0,0,0,109,61,14,0,0,106,122,207,58,0,0,0,0,239,0,0,0,0,0,0,0,5,0,0,0,54,99,67
3822fee663723cbf005cb082d0847a55,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,9,0,0,0,0,0
96c6db87cd8b89ab5fd970fd7d64a7c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8790a37d08e93923e6b290be8664c800,107,0,0,34,0,0,31,38,47,0,0,0,76,39,180,114,184,31,61,34,175,123,21,52,134,0,63,44,0,55,0,172,0,11,0,25,0,25,91,54,38,48,0,0,0,0
9e9bd1740337bbbfd40370c46a7e427f,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
3056e1f452861b6d69449af819e00a36,688,101,0,0,0,78,0,19,592,0,0,0,0,0,1632,0,0,0,0,0,0,0,4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15f018e23db3acc81b429579390abd88,91,230,87,0,118,83,68,0,44,0,0,0,36,0,226,0,13,0,0,122,0,0,245,0,21,0,0,0,58,0,0,111,0,38,0,320,65,0,0,0,0,19,0,40,0,0
a071bbe926c3a854e5058217e80322b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
