"","wild0","tank1","tank2","tank3","tank4","tank5","wild6","tank6","tank7","tank8","tank9","tank10","tank11","tank12","wild19","tank19"
"f__Flavobacteriaceae",-0.854559524366374,-0.669995091814586,0.32369951074542,-0.0436295996368734,0.281525822593676,-0.948273221042905,-0.701917728057762,0.237700902405537,-0.211855423642256,0.432066177456593,0.243693610106356,-0.488979457909514,-0.0324725254501401,0.0964240346116464,1.22342424362509,1.11314827037609
"g__SAR324_clade",0.712726209754532,0.430254574979761,-0.493202947975465,1.05912453799319,0.572122308181321,0.126684988214044,0.576275574982747,-0.560892421910731,-0.577054096703755,-0.408005980107167,-0.143636236246691,-0.808447337643113,0.264690986781851,0.471101767799852,-0.545179526733283,-0.676562401367087
"g__Endozoicomonas",0.494752548371637,-0.367099186070378,-0.635723814282911,-1.40713263802079,-0.224905856744409,-0.727721172841033,1.10499960091751,-0.81606333396929,0.136429111852192,0.5612274487028,-0.308765742777559,0.447338755363385,0.716222457416897,0.623424573820369,1.32863564467127,-0.925618396409706
"g__Porticoccus",0.214598541815607,0.345844535889987,1.42586417585316,1.25268979148359,0.817604552433317,-0.776495516475611,-1.09362125477534,0.133994460444446,-0.0303558295195938,0.136457178868231,-0.349442061733961,-0.408541007037895,0.390975970547532,-0.272369725655551,-0.536237141685981,-1.25096667045193
"f__Terasakiellaceae",0.826895309233111,-0.432438264442622,0.516517252627326,-0.55448610595334,0.317294628134532,0.783990269416774,0.0786497387157172,0.490942905818004,-0.359807719381795,-0.080188828796282,-0.386343718873647,0.580066063608244,-0.22913761735576,-0.0897646942252022,-0.147330834446005,-1.31485838407906
"f__Rhodobacteraceae",-1.44325432981064,-0.665155687072861,-0.0340003496565126,0.377658011840987,0.646385430122445,-0.681940182897336,-1.38394220605332,0.148338453656743,-0.352448547846004,0.704576959592744,0.492217811506823,0.394484447127582,0.652231910028198,0.31283005570935,0.322715656797968,0.509302566953831
"g__Nautella",-0.747149127452092,0.569501633788504,0.521736697851784,0.665787269048689,0.657330733765241,-0.499729336885408,-1.17094925941705,0.389893240284811,0.164266844272755,-0.311858930332304,0.190943669377563,0.0485945078129721,0.84236737340115,0.261471559192698,-1.17094925941705,-0.411257615292257
"g__Vibrio",-0.917766442520246,-0.245167211932778,-0.137715063867234,-0.356412798753727,-0.197321172817021,-0.706350605959721,-1.50860210815668,0.203628191663428,0.326030155211335,0.112456979415082,0.33095684881866,0.722512765036134,0.854066892728215,0.652062561594524,0.788167055373415,0.0794539541666287
"g__Ruegeria",-1.37707938971668,0.446571205810378,0.624941170410361,0.483511180776807,0.503950355190903,-1.24986058198908,-1.17311292607744,0.165168094215514,-0.427368411463461,0.00348911557699658,1.10373745829802,0.6099531967765,0.817023125661408,0.387445434080429,-0.245571925448508,-0.672797102102138
"f__Methyloligellaceae",-1.94560044009608,0.589282257073661,-0.33272048404026,0.391169260700776,0.829660775542945,-1.50889149153257,-1.32240588984876,0.498180595081976,-0.148993169355681,0.291062388712013,1.07032757753842,0.327505691612626,0.662669861632031,0.381355169471519,-0.30616561925763,0.523563516765021
"o__Micavibrionales",-1.23585658362425,-0.398844670570047,0.220174735943354,0.135012618517309,-0.296893991151772,-0.318249697696177,-1.23585658362425,0.0826354194571359,0.277747667837705,0.822917404956181,0.832405632426106,-0.12664150964801,0.982936236768194,-0.467457873982254,0.665304110682054,0.0606670837087153
"c__Bacilli",-0.628369328500428,-0.178226063859958,-1.27318492390086,-0.878432522531934,-0.422360847354542,-0.0466063268248971,-0.211223561156333,-0.131523634502684,-0.488902010827355,-0.0805631931029004,0.788639631402577,0.0435742602868959,0.507045776795085,0.648101302882855,0.814656994628978,1.5373744465655
"g__Alteromonadaceae",-0.593453182195922,0.980405024792568,0.766116415479432,0.765227738571838,0.233759487072506,-0.642539102820935,-0.829990462370864,-0.29499494147658,0.118804069157512,0.128374366967411,-0.346571790728115,0.226933553629072,0.548175665736205,-0.184310909184089,-0.829990462370864,-0.045945470259174
"g__Woeseia",-0.842795286759304,-0.603147874255257,0.398612734314177,1.08117347457713,0.168136542713078,-0.272510576399187,-0.745825155018321,0.0258636108238756,-0.272995314773074,-0.0529163937491167,1.04757003708636,-0.381640853486095,0.711324013191923,0.273582876257137,-0.0989966765431774,-0.435435157980144
"g__Oleiphilus",-0.949883558107867,0.0572608362300928,0.844019816003298,1.19044476269236,-0.195195062784604,0.551565658448355,-0.640626779066995,-0.052853966930953,0.207454150135386,0.0849471502021389,-0.735217673169182,0.255059563001265,0.786563137338986,-0.33904046080453,0.181418209429377,-1.24591578261713
"g__Tropicibacter",-1.66885261886266,0.185868603339738,0.451191228021144,-0.0458671002106904,0.135480982966959,-0.644451301178882,-1.66885261886266,0.380748943508056,0.598376003996708,0.42546201614763,1.1227589480633,0.217831275528088,0.696723946666923,0.163082346579305,0.190328499650976,-0.539829155353942
"o__Lactobacillales",-0.00313159116208683,-0.522677412941962,-0.522677412941962,-0.522677412941962,0.0217814815639427,0.377428844691489,-0.522677412941962,0.584438237032508,-0.522677412941962,0.0838189531972198,-0.194880495637305,0.0217814815639427,0.160766867490242,-0.00313159116208683,-0.0309820369849766,1.59549691411692
"g__HTCC5015",-0.174764598196807,0.913860317863353,1.09184652712383,0.779673128101553,0.730158847573258,-0.204681015273026,-1.05029532114521,0.0614249311710732,-0.578661234823786,0.437787722656461,-0.25532163776604,-0.036147336134001,0.785281120393636,0.275109071124741,-1.69693843173933,-1.0783320909297
"g__Tenacibaculum",-0.537730994599015,0.127961256877144,0.991194429423494,0.549417560810931,-0.287107969513483,-1.21642790766459,-1.14591061771835,0.545632461986574,-0.2675654126294,-0.140054972409446,0.390224319540607,-0.291259459362145,0.332030770694742,0.0173210522680004,0.857514020087441,0.0747614622074983
"g__Kordiimonas",-0.886562888895972,0.333689673899726,1.12633225957106,1.16103479789003,0.307939345280193,-0.281742814810544,-1.36600160269407,0.615270309058278,-0.0332578241660469,-0.238546560925693,-0.460835244823513,0.276720534668331,0.233741543600098,-0.135805365662272,0.337014117551412,-0.988990279541023
"o__Defluviicoccales",-0.00996991563151981,-0.0242127292505669,0.536050893511379,0.934371090759925,0.44416698724192,-1.00812032311123,-0.696867390287859,0.350936295378726,0.0824839597887824,-0.265329110933105,0.946370726365949,-0.740484524004098,0.899987618261359,-0.291848528357702,-0.444480125073544,-0.713054924658411
"g__Seonamhaeicola",-1.13062233688003,0.562933634268609,1.15566086743733,0.691086061623234,0.225866678431767,-0.539263759605429,-1.38150387245494,0.603316541663632,-0.0383645219507036,0.284155022611145,-0.515098213117861,-0.539263759605429,0.0901882172312368,-0.392699076148551,0.829525998010862,0.0940825184851364
"g__Marinicaulis",-0.853850864771207,-0.189300085889271,0.578909554008756,0.177668535973839,0.931638700634796,0.142531555470466,-0.553094711503057,-0.122844802966683,0.340059078456191,0.00103169706353675,0.459962789759919,-0.514282779568725,1.04273364059758,-0.100226616396208,-1.27026130116049,-0.0706743897094402
"g__Alcanivorax",-0.995867572804915,0.415553987547198,1.18655675127207,1.23885078676572,0.805742600085301,0.566564605029566,-0.995867572804915,-0.094038831510412,-0.301195964097958,0.378779609017904,0.987549604491767,-0.756629014793438,-0.756629014793438,-0.598500929185582,-0.660053801115173,-0.420815243103696
"g__Cognatishimia",0.215176274820713,0.338958845768742,0.80836236941122,0.335002186186643,0.497436672252322,-0.99971942516816,-1.2771139810121,0.395421748410052,-0.0238212981205983,0.316078768417447,-0.225100329021858,-0.706308493606071,0.197148848254812,-0.791326717859929,0.589530381410845,0.330274149855917
