"","wild0","tank1","tank2","tank3","tank4","tank5","wild6","tank6","tank7","tank8","tank9","tank10","tank11","tank12","wild19","tank19"
"g__Ruegeria",-0.0148410358661727,1.10102281684289,0.853561320933182,0.256993873746832,0.897857536359838,1.18229886628876,-0.926375847652445,-0.0396661834450775,0.00702830045710347,0.468016656431029,-0.172209949012729,-0.306427167672064,-0.29070224476225,0.199154089918397,-1.46213188738849,-1.07495908277149
"g__Malaciobacter",0.156312105191395,-0.0482894419414003,1.30784007733164,1.54107246466526,-0.399847678139266,0.808261357076494,-0.00231530154746923,-0.70276929726965,0.0337923420161372,-0.214112137741503,-0.70276929726965,-0.70276929726965,-0.70276929726965,-0.70276929726965,0.408128979118818,0.628370865120856
"g__Tenacibaculum",0.586825638452235,0.56306890121952,-0.0317219604946752,-0.362201579912667,-1.3106823545128,0.609998600121185,0.297734015592109,0.405192151889096,0.259030555827004,-0.428135216145384,-0.733928627474971,-0.49892080958793,-0.349934610584995,0.147582904956611,0.102615438203002,0.93623583232817
"g__Marinifilum",0.0950740922995519,0.998057802255019,2.18251279138137,1.11386622586314,-0.334262926842412,0.118542810350512,-0.0681646688611739,-0.721992889874489,0.279698145226723,-0.926838707145103,-0.592749568863797,-0.926838707145103,-0.926838707145103,-0.387903751593183,0.0111301995071183,0.853726394497553
"g__Shimia",-0.343513785714341,1.07179877569517,0.377579708875547,0.674653956781304,1.25221064148693,0.846550799216463,-0.612955483172655,-0.636073531206455,-0.339586014571799,-0.983632202221674,-0.787499843481905,0.2120065668135,0.386722720447011,-0.351620973111667,-0.673277925020304,0.314680091882213
"g__Neptuniibacter",-0.740316309459549,0.343123900879745,0.0502522370202206,0.830611541398302,0.47699697949037,1.47479978438429,-0.686099082301268,0.668910772138999,-0.552892787365017,-0.0987520828432114,-0.306119374123228,-0.552892787365017,-0.999652003161438,-0.664582591314122,0.371140729396841,0.893821747025586
"g__Halarcobacter",-0.136717029306644,0.745304667875555,1.65354286385577,0.774878401325339,0.12152943503639,-0.955289778789476,-0.490481742434247,-0.955289778789476,0.0725739365053168,0.529882265888422,-0.606683751523054,0.180176929356617,0.463968070582072,-0.46167206726371,-0.374279733345439,-0.328691660618004
"g__Peredibacter",0.958157157480584,0.29323628330024,-0.283328796703013,-0.0555621408516104,-0.510614025261879,0.51017661689502,0.827523968011741,0.74522316417604,0.906630189051575,0.343849246532595,-0.219095089378786,-0.970433161501317,-0.832013808912943,0.219802779676191,-1.14835770445189,-0.709578737998544
"g__Pseudoalteromonas",0.133588265755167,-0.906940690785189,-0.176694935347978,-0.289634436952263,-0.490836488593992,0.462617035082427,-0.0105254838913633,0.785274318285552,-0.311555354437508,0.435641539005737,0.346933026973465,0.731253745858563,-0.524702584870099,0.795777943812822,-0.88889808432601,0.00400955100882263
"g__Pantoea",0.233675287779125,-1.01031981071694,-1.01031981071694,-0.781731863420072,-1.01031981071694,0.569391909454687,0.709470902734026,-0.600580201128888,1.27817561378324,1.17754186568242,0.246268531277,1.16259133192569,1.21495427359935,-0.305134565189267,-1.01031981071694,-1.01031981071694
"g__Alteromonas",0.0528368939306901,-0.813978174945866,-0.813978174945866,-0.327819065956473,0.0165696931117879,0.230957900834285,0.33433402055486,0.741431019196862,0.323989900554173,1.14474382498985,0.477531819496898,-0.813978174945866,-0.813978174945866,0.704145595585872,-0.813978174945866,0.176829181060003
"g__Desulfovibrionaceae",0.525382196219512,-0.469654495902487,2.45796990159253,0.852099738836043,-0.469654495902487,-0.469654495902487,0.0956470263631312,-0.469654495902487,1.06143816672873,0.0163457938441782,-0.469654495902487,-0.119220558565059,-0.469654495902487,-0.469654495902487,-0.469654495902487,-0.469654495902487
"g__Sulfurovum",0.579171708276486,-0.940782940672284,-1.03707407127112,-0.236813424005523,-1.21280318528571,0.907796363359264,0.81730066293961,-0.0469828877736541,1.1404924151118,0.839630670722151,-0.317304468029673,-0.698231152501871,1.03458222418138,-0.217959304645663,-0.53860233061316,-0.11551284909598
"g__Schizothrix_LEGE_07164",-0.161621568809917,-0.612684908906481,-0.797205280019311,0.46947831596767,1.63038739834683,0.384716578825596,-0.797205280019311,0.508570870812772,-0.285854354979934,-0.294049037755705,-0.353955333817632,0.710426902594541,0.842655505639056,-0.0570629392841266,-0.797205280019311,-0.52688782230597
"g__Nitrincolaceae",-0.221374050924909,2.19622562166756,1.84156072058907,0.405867153135166,-0.351849377633595,0.317793219410773,-0.612800031050966,-0.612800031050966,0.0274281225348333,-0.0068913775019559,-0.612800031050966,-0.406001530948358,-0.612800031050966,-0.612800031050966,-0.0585503008995989,0.039576602492463
"g__[Mycoplasma]_group",0.277716192807802,-0.543579324406559,-0.543579324406559,-0.543579324406559,0.109110899890438,-0.543579324406559,0.351285941930628,0.98990858220117,0.210271119819167,0.237795498615708,0.76305871403666,-0.543579324406559,-0.543579324406559,1.04710142967986,-0.543579324406559,-0.543579324406559
"g__Algicola",-0.149809014937166,1.35555762447497,0.917385635783149,-0.174390982640216,-0.0316492984101865,0.790194122071705,-0.956501996192517,0.498004665920836,-0.844917667937028,0.355385668333354,-0.513680962469979,0.0505082746329372,-1.05572656288542,-0.14377269381611,0.17180282676195,0.300803613928005
"f__Cellvibrionaceae",0.247552097426261,1.16179107990961,1.72113976988871,0.773199457378273,0.778972715252098,-0.314023908748835,-0.971774369808675,-0.0916336826752916,-0.106162602909815,0.498024950177449,-0.647585713761345,-0.0160515436525056,-0.79889068953727,0.362880363075861,-1.06419965081728,-1.06419965081728
"g__Enhydrobacter",-0.31031908050792,-0.975389927596452,-0.33842360698573,-0.599907531453401,-0.153038616276285,0.651213085854955,-0.202664177449863,1.14258488769348,0.512457012047466,0.766463230193257,0.0686157442263658,-0.367818620129541,0.162612834331076,0.235801311229822,0.212430658119652,-0.700354043673807
"g__Erythrobacter",0.637522429753034,-0.450982400227454,0.191706667508167,-0.0754785241019233,0.0119950655371356,0.552647957332001,0.468014166474253,0.481368606191463,0.0938853256224816,-0.310275256373975,0.15603499083998,-0.963519814572234,-0.664477811807247,0.998752919898737,-1.05410236460955,0.175026250815189
"g__Dasania",-0.0454730326950276,1.59530254193445,1.59818693604409,0.56526928760227,0.416987354672441,-0.218739329044446,-0.569269404053184,-0.684533362545579,0.0542384082789253,-0.501844310650454,-1.04991146633583,0.149548915472116,0.149916138458253,0.00589156322226795,-0.636694497455915,-0.369059873904494
"f__Arcobacteraceae",0.162947044822642,1.54845874908461,1.58531728546809,1.32734567252391,-0.817916620820463,0.0868277420257053,-0.282829641051933,-0.304634507033331,-0.0599412981146457,-0.519965580669085,-0.561275563926897,-0.817916620820463,-0.519965580669085,-0.0451232005517555,-0.817916620820463,0.593970416384432
"g__BD1-7_clade",0.0904120744439246,1.04290130965804,0.991853367914691,0.133522530817997,0.671753070683938,0.588833650653645,-0.532933761770911,0.728822662058832,0.20946607929862,0.131772728516956,-1.31899044686756,-0.390390422495212,-0.343914412655627,-0.0727942112373346,-0.661087248270632,-0.742331297893255
"g__Pseudovibrio",0.0894451111292157,0.0323801826798115,-0.0149725465277882,-0.738990838870429,0.286234007894252,-0.738990838870429,0.105570774381539,0.645000179586047,0.0940887225042465,-0.0194340661971755,0.0746528802788597,0.642096999018193,-0.738990838870429,1.1950415702979,-0.738990838870429,-0.42546158802946
"g__Psychrobium",0.0620197945566225,0.195889095000546,0.18722677109214,0.835126902443262,0.854522294548054,0.425033842997701,-0.159796303470086,-0.422131434976392,0.0973416811690103,-0.389849305530338,-0.707100935776019,-0.176672067455839,0.462921607452316,-0.216182200734913,-0.422131434976392,-0.422131434976392
"g__Paracoccus",0.745946635502209,-0.710533573379454,-0.284665557908891,-0.449946641581351,-0.336394997790561,0.297976267886431,0.245385400412662,0.868890117450784,0.477008512571348,0.440226344125078,0.172331292808944,-0.314514146141472,-0.501940864174396,0.749028088999022,-0.373397494887784,-1.02096248056673
"g__OM190",0.507400444128515,0.614242406672915,0.601088565305445,-0.00485755001198557,0.599399413811075,0.628450113477248,-0.247651663699058,0.443887583533516,0.0364485991636388,-0.0629120585126757,-0.376785515566005,-0.395318252278691,0.110321501520348,0.648104184404889,-1.09853870226398,-1.59343284342429
"o__Lactobacillales",0.180897952565337,-1.07905233623462,0.570176401366681,-0.921769383472027,-0.746450032917418,-0.0808107810959697,0.754201920701703,0.759023721147513,0.0750527555763747,0.401187374530296,0.110861247047041,-0.664433114010162,-0.542515864331153,0.881567928798402,0.591613296240978,-0.126429212489411
"g__Blastopirellula",0.633603964086891,0.644954152621208,0.103938844389648,-0.0421898061086832,0.792949808230668,0.545860731729125,-0.126611083104102,0.509504269185434,-0.0175384131677162,-0.373223549891694,0.106336523566255,-0.463953431609721,-0.81952749530467,0.916068798932001,-1.1443367029614,-1.04923675188699
"g__Woeseia",0.948357649286514,-0.468937182722393,-0.612497407161171,-0.193310108141082,0.167462904870094,0.791158960492208,-0.420420354093359,0.0672270314089268,0.834623855882148,0.300951335904568,-0.417572687817056,-0.0135887883510822,0.140822847652179,0.212222563514743,-1.39934151675967,0.122394747144779
