"","wild0","tank1","tank2","tank3","tank4","tank5","wild6","tank6","tank7","tank8","tank9","tank10","tank11","tank12","wild19","tank19"
"GABA",-0.508491664185566,0.174601795750978,-1.0105315482571,-0.871795908561184,-0.0202715225858788,0.389373726062503,1.85073118320659,0.0231361720183023,1.19901174214687,1.77295111463067,-1.83354861926757,-0.280674422833157,-0.644165569404265,0.586985686004256,-0.751736418366359,-0.0755757463590791
"Pro",1.41726597348578,0.379437303794995,1.42376654976884,0.249232286544461,0.27724553714007,-1.29826522204713,-0.251070445284296,0.0566009211196008,0.405655804232044,-1.14904354416051,0.196139124350819,0.115262764087639,-0.161346195131267,-2.48758217209958,1.06031662093863,-0.233615306740083
"Cys",0.662771070459069,-0.0266557580520645,-0.456010241844463,-1.20789876169832,-0.525916240425431,0.525076727598833,-2.60149897563569,-0.440773753449843,0.852562994871597,0.380564037531343,0.48056903330006,-0.812132722125043,-0.00468996385714982,1.35334253530633,1.16280733321196,0.657882684808833
"Lys",-0.237847583177712,0.889082764706493,1.06904909479655,-1.97065650326793,0.784759203949938,-1.9691097453853,-0.412629592286063,0.0307059680302921,1.13458672178202,1.37456600520315,0.639416076616828,-0.0833211089461952,-0.606795328189117,-0.646286590211915,0.206874232753323,-0.202393616374372
"Tyr",-0.275083184781936,2.34785573447514,0.661842784340296,1.31749201047837,-0.954712894778933,-0.39823401923191,-0.589432399575954,-1.01009103408368,-0.871442262076554,-1.24453033355289,-0.979311544921226,0.751798349332139,0.788159373111638,-0.169785084789502,0.559870362610121,0.0656041434448687
"Met",0.70094937458627,0.768025584046447,0.541598894904761,-0.742132122266298,-0.544710862765795,-0.035007094782374,0.150246674349333,-0.597754896027,1.99358129280759,-2.0177991150407,-0.696495700111221,0.407047526015679,-0.14943659666375,-0.271170384358889,1.56615096022564,-1.07309353491971
"Val",-0.864313921606178,1.01628537349772,-0.143711223736736,0.0489321957588299,-0.104843900136043,-0.854386914158966,0.352253020761926,-1.37234782293324,1.93093623865641,-0.491691900369266,-0.940870098772653,-0.104906717940271,-0.322209637586957,-0.0223939326210013,2.3010541345362,-0.427784893349793
"Ile",-1.06235125348921,1.44174606522919,1.19013770909621,0.36746787500638,0.694401403351445,0.374081146349005,-0.997276390448885,0.211437629063221,1.53580475907518,0.606496027789806,0.755325922137619,-1.03030138982749,-1.09989861078363,-1.07266918344704,-0.837855486840744,-1.07654622226105
"Leu",0.51017015372589,0.633436397926076,0.574947086141481,-0.422335822858044,-0.661005784714766,-1.24808838982421,0.762479194042106,-1.66303303897431,1.18737921089412,-0.943457858342464,-0.262725248510163,0.565177675015774,-0.556069342083639,-0.167585635588308,2.2653668448916,-0.574655441741167
"Phe",-0.504631062914693,-1.47259938941731,1.39948548079654,-0.218435548907422,-2.08912912490463,-0.0446466391697443,0.950863465044156,-0.902425456852504,1.02960427354124,0.451282635467603,-0.49818103940578,-0.361621668748143,0.374183006495454,-0.278079463775642,1.45856796088905,0.705762571861833
