"","wild0","tank1","tank2","tank3","tank4","tank5","wild6","tank6","tank7","tank8","tank9","tank10","tank11","tank12","wild19","tank19"
"Ala",2.352052736625,-0.281545546088183,-0.0404124704136967,-0.234170046593762,0.858873174184828,-1.10600239451211,1.6430250084981,-1.65234378844664,-0.282555992242411,-1.01168968463341,-0.608819836537215,-0.0823503655467663,-0.107761634614902,-0.219406970004782,0.612428579450728,0.160679230875231
"GABA",-1.51073867890534,-0.10120452658432,0.0152612879569655,1.053722949868,0.849017896463471,1.05653008815816,-0.193231807365208,1.34521385169654,-0.149881009154257,0.164958510901155,1.27604760251115,0.247094157799845,-0.325645695656502,-2.0309668964189,-0.345880972128393,-1.35029675914237
"Pro",1.84934497609689,0.203658183349433,0.116192534595063,-0.273649218621673,0.808694220996673,-1.37401900555903,1.55952613578317,-1.99813917713846,0.0424376797018244,-0.552351288284803,-0.390901608756514,-0.637251588058986,-0.472231024955346,-0.407056041660361,0.582549521854559,0.943195700657558
"Cys",-0.111920991278095,0.211054476428256,0.70500365745035,0.0603811053517181,1.29262760306564,-0.749257931126324,-1.42432165047673,-1.67907809916043,0.00809078266842448,-0.120797018411948,0.0058860633003467,-1.43252023540696,1.45830706325774,1.65675469590653,-0.39645327157345,0.516243750004919
"Lys",0.392783165597951,0.684345824924277,0.715173212209995,0.536067860762466,-0.163342791483183,-2.53912295778472,-0.733424165159985,-0.746630325987139,-0.313125159060447,0.629794088140757,0.275167488322926,-1.22191280164487,1.20532888294308,0.986554519222765,1.00554367382458,-0.713200514828461
"Tyr",0.451944268866699,-1.34939215971563,0.054924160908098,-0.75244864508951,1.34001258367929,-0.324470090803306,-0.643922930969336,-0.953645700748683,-0.0270768903093809,-0.909967622151113,-0.914924316903852,-0.769180904953872,0.494319136479615,1.92784980325643,0.92378801618259,1.45219129227196
"Met",-0.502154624879288,-0.249330810307015,1.11322197854613,-0.650356166417756,0.474682032389455,-0.661613288830429,-1.24714111961458,-0.848692839802107,-0.632263301869047,-0.227307274485337,-0.41614142970353,-0.705372772565056,1.4976794549093,1.14385174122823,2.29437166796826,-0.383433246567234
"Val",0.606069961527392,1.27432603662248,2.04737192488916,-0.840539335969827,0.617637381238521,-1.07224894653251,0.28646489112839,-1.86834047922352,-0.266022861608775,1.18997806030579,-0.769934597423239,-0.694896427709248,-0.1917333472022,-0.602120531169534,0.0948220793674653,0.189166191759654
"Ile",-0.900222950110589,0.752583427240754,0.630377798489826,1.52447800538857,1.91506953873685,0.252842021520348,-0.932389435799974,-0.251770346866852,0.496478765093734,0.517133232689544,0.919450276321562,-0.960946023531496,-1.09516628199544,-1.04005008919122,-0.954435116403995,-0.873432821581615
"Leu",1.17847185472234,-0.231152071351479,-0.330224758894826,0.66155119881983,1.90569100506786,-1.2382933186816,0.802636077861323,-1.94516643777488,-0.112665353044171,-0.550694311084842,-0.694225397396069,-0.760350776285406,-0.562348868569808,0.119364725217407,0.589405832469022,1.16800059892531
"Phe",-0.296225791853339,0.850195843015664,-0.588736825878952,0.395029053724671,-0.242521508728905,-0.516643496421762,0.259008461847612,-1.53132261805045,0.616858710408367,-0.93754190301752,1.00671081761116,0.895840695092856,2.32634379040196,-0.405386752438029,-1.47252742433622,-0.359081051377125
